City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
45,Cayeli,TR,68.67,Clouds,41.0923,40.7292,Grand Cavusoglu Hotel
46,Malakal,SS,70.12,Clouds,9.5334,31.6605,Juba
47,Bonavista,CA,51.21,Rain,48.6499,-53.1147,Sweet Sharons bnb
48,Rosario,AR,85.95,Clear,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
49,Meulaboh,ID,75.61,Clouds,4.1363,96.1285,Kost Pria
50,Yar-Sale,RU,16.57,Clouds,66.8333,70.8333,Yalemd
51,Olinda,BR,82.13,Clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
52,Chuy,UY,68.32,Clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
53,Honningsvag,NO,33.55,Clouds,70.9821,25.9704,Nordkapp Vandrerhjem
54,Necochea,AR,78.15,Clouds,-38.5473,-58.7368,Hotel Tres Arroyos
55,Georgetown,MY,78.73,Clouds,5.4112,100.3354,Cititel Penang
56,Arroyo,ES,60.22,Clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
57,Saldanha,ZA,59.05,Clear,-33.0117,17.9442,Blue Bay Lodge
59,Salym,RU,13.62,Clouds,60.0625,71.4789,Gostinitsa Salym
60,Port-Cartier,CA,51.48,Clouds,50.0334,-66.8654,Le Q'Artier
61,Aasiaat,GL,13.59,Clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
62,Jamestown,US,57.52,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
63,Tarrafal,CV,79.59,Clouds,15.2833,-23.7667,Hotel Ixola
64,Codajas,BR,98.69,Clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
65,Hualmay,PE,70.39,Clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
66,Saint-Pierre,RE,73.08,Clear,-21.3393,55.4781,Alize Plage
67,Husavik,IS,33.3,Clouds,66.0449,-17.3389,Bjarnabúð
68,Vuktyl,RU,13.1,Clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
69,Sayyan,YE,57.87,Clouds,15.1718,44.3244,بيت احمد شاري
70,Salalah,OM,78.89,Clear,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
71,Alappuzha,IN,79.7,Clouds,9.49,76.3264,Panoramic Sea Resort
72,Folkestone,GB,58.73,Clouds,51.0833,1.1833,Folkestone Grand Burstin Hotel
73,Morondava,MG,76.66,Clear,-20.2833,44.2833,La Case Bambou
